class,year,month,day
11.795,1803,5,1
13.821,1803,6,1
15.106,1803,7,1
15.366,1803,8,1
12.33,1803,9,1
9.119,1803,10,1
5.961,1803,11,1
2.327,1803,12,1
2.4450000000000003,1804,1,1
1.939,1804,2,1
4.425,1804,3,1
10.057,1804,4,1
12.107,1804,5,1
13.774,1804,6,1
15.774000000000001,1804,7,1
14.511,1804,8,1
12.468,1804,9,1
9.282,1804,10,1
7.1320000000000014,1804,11,1
2.224,1804,12,1
2.822,1805,1,1
2.557,1805,2,1
5.76,1805,3,1
8.123,1805,4,1
11.104,1805,5,1
14.027,1805,6,1
14.702,1805,7,1
15.27,1805,8,1
12.039,1805,9,1
7.635999999999999,1805,10,1
4.555,1805,11,1
4.158,1805,12,1
2.9170000000000003,1806,1,1
2.937,1806,2,1
4.691,1806,3,1
8.032,1806,4,1
11.503,1806,5,1
12.418,1806,6,1
13.923,1806,7,1
14.593,1806,8,1
12.549,1806,9,1
8.426,1806,10,1
5.231,1806,11,1
3.989,1806,12,1
1.0550000000000002,1807,1,1
4.0939999999999985,1807,2,1
4.788,1807,3,1
6.970999999999999,1807,4,1
9.331,1807,5,1
13.293,1807,6,1
14.138,1807,7,1
13.799,1807,8,1
12.614999999999998,1807,9,1
8.857000000000003,1807,10,1
6.015,1807,11,1
4.420999999999999,1807,12,1
1.131,1808,1,1
2.142,1808,2,1
4.3610000000000015,1808,3,1
7.4819999999999975,1808,4,1
9.357,1808,5,1
13.428999999999998,1808,6,1
14.491,1808,7,1
13.047,1808,8,1
12.710999999999999,1808,9,1
7.971999999999999,1808,10,1
4.5120000000000005,1808,11,1
0.887,1808,12,1
0.20800000000000016,1809,1,1
0.8559999999999999,1809,2,1
3.425,1809,3,1
7.8329999999999975,1809,4,1
9.243,1809,5,1
12.998,1809,6,1
12.656,1809,7,1
12.905,1809,8,1
10.967,1809,9,1
8.65,1809,10,1
3.0989999999999998,1809,11,1
2.077,1809,12,1
0.8880000000000001,1810,1,1
2.391,1810,2,1
5.0139999999999985,1810,3,1
6.5329999999999995,1810,4,1
9.068999999999999,1810,5,1
11.934,1810,6,1
12.550999999999998,1810,7,1
12.041,1810,8,1
9.532,1810,9,1
6.6320000000000014,1810,10,1
3.827,1810,11,1
2.66,1810,12,1
1.374,1811,1,1
0.4500000000000002,1811,2,1
3.701,1811,3,1
6.3020000000000005,1811,4,1
9.443,1811,5,1
12.137,1811,6,1
11.956,1811,7,1
13.326,1811,8,1
10.368,1811,9,1
6.58,1811,10,1
3.503,1811,11,1
3.174,1811,12,1
0.977,1812,1,1
0.13100000000000026,1812,2,1
2.044,1812,3,1
6.9499999999999975,1812,4,1
9.579999999999998,1812,5,1
12.005,1812,6,1
14.355,1812,7,1
15.018,1812,8,1
10.185,1812,9,1
7.593,1812,10,1
4.369,1812,11,1
1.348,1812,12,1
-1.3849999999999998,1813,1,1
2.258,1813,2,1
1.596,1813,3,1
8.181999999999999,1813,4,1
11.367,1813,5,1
13.242,1813,6,1
14.521,1813,7,1
13.097,1813,8,1
12.339,1813,9,1
8.666,1813,10,1
6.825,1813,11,1
2.171,1813,12,1
1.5020000000000002,1814,1,1
1.689,1814,2,1
2.6639999999999997,1814,3,1
7.193,1814,4,1
9.417,1814,5,1
12.818,1814,6,1
12.532,1814,7,1
12.668,1814,8,1
10.675999999999998,1814,9,1
7.374,1814,10,1
6.739,1814,11,1
5.8290000000000015,1814,12,1
2.051,1815,1,1
2.273,1815,2,1
3.6630000000000003,1815,3,1
6.587999999999999,1815,4,1
9.845,1815,5,1
11.162,1815,6,1
14.394,1815,7,1
13.209,1815,8,1
11.151,1815,9,1
7.1370000000000005,1815,10,1
4.178,1815,11,1
1.2209999999999996,1815,12,1
2.737,1816,1,1
0.6759999999999997,1816,2,1
3.905,1816,3,1
7.606,1816,4,1
10.594,1816,5,1
11.79,1816,6,1
12.267,1816,7,1
12.57,1816,8,1
10.39,1816,9,1
5.699,1816,10,1
4.058,1816,11,1
0.9580000000000002,1816,12,1
1.54,1817,1,1
3.649,1817,2,1
4.569,1817,3,1
7.8889999999999985,1817,4,1
9.476,1817,5,1
11.287,1817,6,1
12.072,1817,7,1
13.403,1817,8,1
8.812000000000003,1817,9,1
6.202999999999999,1817,10,1
4.638,1817,11,1
0.16999999999999993,1817,12,1
1.2040000000000002,1818,1,1
0.7549999999999999,1818,2,1
5.565,1818,3,1
9.901,1818,4,1
11.247,1818,5,1
13.825,1818,6,1
13.51,1818,7,1
13.166,1818,8,1
10.578,1818,9,1
6.654,1818,10,1
5.035,1818,11,1
2.5069999999999997,1818,12,1
1.0140000000000002,1819,1,1
2.286,1819,2,1
2.931,1819,3,1
7.029,1819,4,1
9.851,1819,5,1
12.526,1819,6,1
13.038,1819,7,1
12.557,1819,8,1
10.893999999999998,1819,9,1
9.312,1819,10,1
5.15,1819,11,1
1.8419999999999999,1819,12,1
1.236,1820,1,1
2.145,1820,2,1
4.618,1820,3,1
8.7,1820,4,1
11.62,1820,5,1
13.323,1820,6,1
13.311,1820,7,1
11.978,1820,8,1
11.16,1820,9,1
